@relation compressive
@attribute Cement numeric
@attribute "Blast Furnace Slag" numeric
@attribute "Fly Ash" numeric
@attribute Water numeric
@attribute Superplasticizer numeric
@attribute "Coarse Aggregate" numeric
@attribute "Fine Aggregate" numeric
@attribute Age numeric
@attribute class numeric
@attribute group {0,1}
@data
540,0,0,162,2.5,1040,676,28,79.986111,0
540,0,0,162,2.5,1055,676,28,61.887366,0
332.5,142.5,0,228,0,932,594,270,40.269535,0
332.5,142.5,0,228,0,932,594,365,41.05278,0
198.6,132.4,0,192,0,978.4,825.5,360,44.296075,0
266,114,0,228,0,932,670,90,47.029847,0
380,95,0,228,0,932,594,365,43.698299,0
380,95,0,228,0,932,594,28,36.44777,0
266,114,0,228,0,932,670,28,45.854291,0
475,0,0,228,0,932,594,28,39.28979,0
198.6,132.4,0,192,0,978.4,825.5,90,38.074244,0
198.6,132.4,0,192,0,978.4,825.5,28,28.021684,1
427.5,47.5,0,228,0,932,594,270,43.01296,0
190,190,0,228,0,932,670,90,42.326932,0
304,76,0,228,0,932,670,28,47.813782,0
380,0,0,228,0,932,670,90,52.90832,0
139.6,209.4,0,192,0,1047,806.9,90,39.358048,0
342,38,0,228,0,932,670,365,56.141962,0
380,95,0,228,0,932,594,90,40.563252,0
475,0,0,228,0,932,594,180,42.620648,0
427.5,47.5,0,228,0,932,594,180,41.836714,0
139.6,209.4,0,192,0,1047,806.9,28,28.23749,1
139.6,209.4,0,192,0,1047,806.9,3,8.063422,1
139.6,209.4,0,192,0,1047,806.9,180,44.207822,0
380,0,0,228,0,932,670,365,52.516697,0
380,0,0,228,0,932,670,270,53.300632,0
380,95,0,228,0,932,594,270,41.151375,0
342,38,0,228,0,932,670,180,52.124386,0
427.5,47.5,0,228,0,932,594,28,37.427515,0
475,0,0,228,0,932,594,7,38.603761,0
304,76,0,228,0,932,670,365,55.260122,0
266,114,0,228,0,932,670,365,52.90832,0
198.6,132.4,0,192,0,978.4,825.5,180,41.719503,0
475,0,0,228,0,932,594,270,42.13112,0
190,190,0,228,0,932,670,365,53.692254,0
237.5,237.5,0,228,0,932,594,270,38.40795,0
237.5,237.5,0,228,0,932,594,28,30.079769,1
332.5,142.5,0,228,0,932,594,90,37.721921,0
475,0,0,228,0,932,594,90,42.229026,0
237.5,237.5,0,228,0,932,594,180,36.251959,0
342,38,0,228,0,932,670,90,50.459301,0
427.5,47.5,0,228,0,932,594,365,43.698299,0
237.5,237.5,0,228,0,932,594,365,38.995384,0
380,0,0,228,0,932,670,180,53.104131,0
427.5,47.5,0,228,0,932,594,90,41.542997,0
427.5,47.5,0,228,0,932,594,7,35.076402,0
349,0,0,192,0,1047,806.9,3,15.049193,1
380,95,0,228,0,932,594,180,40.759063,0
237.5,237.5,0,228,0,932,594,7,26.258004,1
380,95,0,228,0,932,594,7,32.823194,1
332.5,142.5,0,228,0,932,594,180,39.779318,0
190,190,0,228,0,932,670,180,46.931942,0
237.5,237.5,0,228,0,932,594,90,33.116911,1
304,76,0,228,0,932,670,90,49.185149,0
139.6,209.4,0,192,0,1047,806.9,7,14.589312,1
198.6,132.4,0,192,0,978.4,825.5,7,14.638265,1
475,0,0,228,0,932,594,365,41.93462,0
198.6,132.4,0,192,0,978.4,825.5,3,9.13142,1
304,76,0,228,0,932,670,180,50.948829,0
332.5,142.5,0,228,0,932,594,28,33.019006,1
304,76,0,228,0,932,670,270,54.378283,0
266,114,0,228,0,932,670,270,51.732763,0
310,0,0,192,0,971,850.6,3,9.866402,1
190,190,0,228,0,932,670,270,50.655112,0
266,114,0,228,0,932,670,180,48.695621,0
342,38,0,228,0,932,670,270,55.064311,0
139.6,209.4,0,192,0,1047,806.9,360,44.69804,0
332.5,142.5,0,228,0,932,594,7,30.275581,1
190,190,0,228,0,932,670,28,40.856969,0
485,0,0,146,0,1120,800,28,71.988189,0
374,189.2,0,170.1,10.1,926.1,756.7,3,34.397958,1
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.799413,1
425,106.3,0,153.5,16.5,852.1,887.1,3,33.398217,1
425,106.3,0,151.4,18.6,936,803.7,3,36.300911,0
375,93.8,0,126.6,23.4,852.1,992.6,3,28.999361,1
475,118.8,0,181.1,8.9,852.1,781.5,3,37.797074,0
469,117.2,0,137.8,32.2,852.1,840.5,3,40.196451,0
425,106.3,0,153.5,16.5,852.1,887.1,3,33.398217,1
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.096147,1
531.3,0,0,141.8,28.2,852.1,893.7,3,41.299612,0
425,106.3,0,153.5,16.5,852.1,887.1,3,33.398217,1
318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.200348,1
401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.099664,0
362.6,189,0,164.9,11.6,944.7,755.8,3,35.301171,0
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.296095,1
379.5,151.2,0,153.9,15.9,1134.3,605,3,28.599464,1
362.6,189,0,164.9,11.6,944.7,755.8,3,35.301171,0
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.400556,1
362.6,189,0,164.9,11.6,944.7,755.8,3,35.301171,0
439,177,0,186,11.1,884.9,707.9,3,39.300132,0
389.9,189,0,145.9,22,944.7,755.8,3,40.596347,0
362.6,189,0,164.9,11.6,944.7,755.8,3,35.301171,0
337.9,189,0,174.9,9.5,944.7,755.8,3,24.097186,1
374,189.2,0,170.1,10.1,926.1,756.7,7,46.201787,0
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.795775,0
425,106.3,0,153.5,16.5,852.1,887.1,7,49.201007,0
425,106.3,0,151.4,18.6,936,803.7,7,46.801631,0
375,93.8,0,126.6,23.4,852.1,992.6,7,45.698469,0
475,118.8,0,181.1,8.9,852.1,781.5,7,55.599345,0
469,117.2,0,137.8,32.2,852.1,840.5,7,54.896079,0
425,106.3,0,153.5,16.5,852.1,887.1,7,49.201007,0
388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.901275,0
531.3,0,0,141.8,28.2,852.1,893.7,7,46.898158,0
425,106.3,0,153.5,16.5,852.1,887.1,7,49.201007,0
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.398217,1
401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.096287,0
362.6,189,0,164.9,11.6,944.7,755.8,7,55.895819,0
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.800851,0
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.098106,0
362.6,189,0,164.9,11.6,944.7,755.8,7,55.895819,0
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,37.997022,0
362.6,189,0,164.9,11.6,944.7,755.8,7,55.895819,0
439,177,0,186,11.1,884.9,707.9,7,56.095767,0
389.9,189,0,145.9,22,944.7,755.8,7,59.094988,0
362.6,189,0,164.9,11.6,944.7,755.8,7,22.897498,1
337.9,189,0,174.9,9.5,944.7,755.8,7,35.101223,0
374,189.2,0,170.1,10.1,926.1,756.7,28,61.094468,0
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.798253,0
425,106.3,0,153.5,16.5,852.1,887.1,28,60.294676,0
425,106.3,0,151.4,18.6,936,803.7,28,61.797734,0
375,93.8,0,126.6,23.4,852.1,992.6,28,56.695611,0
475,118.8,0,181.1,8.9,852.1,781.5,28,68.299493,0
469,117.2,0,137.8,32.2,852.1,840.5,28,66.899856,0
425,106.3,0,153.5,16.5,852.1,887.1,28,60.294676,0
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.69717,0
531.3,0,0,141.8,28.2,852.1,893.7,28,56.399137,0
425,106.3,0,153.5,16.5,852.1,887.1,28,60.294676,0
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.495923,0
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.499441,0
362.6,189,0,164.9,11.6,944.7,755.8,28,71.298713,0
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.69783,0
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.200228,0
362.6,189,0,164.9,11.6,944.7,755.8,28,71.298713,0
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.699648,0
362.6,189,0,164.9,11.6,944.7,755.8,28,71.298713,0
439,177,0,186,11.1,884.9,707.9,28,65.996643,0
389.9,189,0,145.9,22,944.7,755.8,28,74.497882,0
362.6,189,0,164.9,11.6,944.7,755.8,28,71.298713,0
337.9,189,0,174.9,9.5,944.7,755.8,28,49.897378,0
374,189.2,0,170.1,10.1,926.1,756.7,56,63.397318,0
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.900376,0
425,106.3,0,153.5,16.5,852.1,887.1,56,64.300532,0
425,106.3,0,151.4,18.6,936,803.7,56,64.900376,0
375,93.8,0,126.6,23.4,852.1,992.6,56,60.19815,0
475,118.8,0,181.1,8.9,852.1,781.5,56,72.298453,0
469,117.2,0,137.8,32.2,852.1,840.5,56,69.299233,0
425,106.3,0,153.5,16.5,852.1,887.1,56,64.300532,0
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.199449,0
531.3,0,0,141.8,28.2,852.1,893.7,56,58.798513,0
425,106.3,0,153.5,16.5,852.1,887.1,56,64.300532,0
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.100064,0
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.69809,0
362.6,189,0,164.9,11.6,944.7,755.8,56,77.297154,0
323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.199848,0
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.896079,0
362.6,189,0,164.9,11.6,944.7,755.8,56,77.297154,0
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.994824,0
362.6,189,0,164.9,11.6,944.7,755.8,56,77.297154,0
439,177,0,186,11.1,884.9,707.9,56,71.698609,0
389.9,189,0,145.9,22,944.7,755.8,56,79.400056,0
362.6,189,0,164.9,11.6,944.7,755.8,56,77.297154,0
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89478,0
374,189.2,0,170.1,10.1,926.1,756.7,91,64.900376,0
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.596487,0
425,106.3,0,153.5,16.5,852.1,887.1,91,65.196851,0
425,106.3,0,151.4,18.6,936,803.7,91,66.699908,0
375,93.8,0,126.6,23.4,852.1,992.6,91,62.500999,0
475,118.8,0,181.1,8.9,852.1,781.5,91,74.194512,0
469,117.2,0,137.8,32.2,852.1,840.5,91,70.698869,0
425,106.3,0,153.5,16.5,852.1,887.1,91,65.196851,0
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.598825,0
531.3,0,0,141.8,28.2,852.1,893.7,91,59.198409,0
425,106.3,0,153.5,16.5,852.1,887.1,91,65.196851,0
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.099545,0
401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.497622,0
362.6,189,0,164.9,11.6,944.7,755.8,91,79.296635,0
379.5,151.2,0,153.9,15.9,1134.3,605,91,56.495663,0
362.6,189,0,164.9,11.6,944.7,755.8,91,79.296635,0
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.800732,0
362.6,189,0,164.9,11.6,944.7,755.8,91,79.296635,0
439,177,0,186,11.1,884.9,707.9,91,73.298194,0
389.9,189,0,145.9,22,944.7,755.8,91,82.599225,0
362.6,189,0,164.9,11.6,944.7,755.8,91,79.296635,0
337.9,189,0,174.9,9.5,944.7,755.8,91,67.796175,0
222.36,0,96.67,189.29,4.46,967.08,870.32,3,11.576302,1
222.36,0,96.67,189.29,4.46,967.08,870.32,14,24.448819,1
222.36,0,96.67,189.29,4.46,967.08,870.32,28,24.890084,1
222.36,0,96.67,189.29,4.46,967.08,870.32,56,29.44752,1
222.36,0,96.67,189.29,4.46,967.08,870.32,100,40.713558,0
233.81,0,94.58,197.89,4.567,947.04,852.16,3,10.383509,1
233.81,0,94.58,197.89,4.567,947.04,852.16,14,22.139074,1
233.81,0,94.58,197.89,4.567,947.04,852.16,28,22.835445,1
233.81,0,94.58,197.89,4.567,947.04,852.16,56,27.661777,1
233.81,0,94.58,197.89,4.567,947.04,852.16,100,34.556537,0
194.68,0,100.52,165.62,7.48,1006.4,905.9,3,12.451937,1
194.68,0,100.52,165.62,7.48,1006.4,905.9,14,24.98661,1
194.68,0,100.52,165.62,7.48,1006.4,905.9,28,25.72435,1
194.68,0,100.52,165.62,7.48,1006.4,905.9,56,33.963588,1
194.68,0,100.52,165.62,7.48,1006.4,905.9,100,37.34202,0
190.68,0,125.4,162.14,7.77,1090,804.01,3,15.044366,1
190.68,0,125.4,162.14,7.77,1090,804.01,14,21.063492,1
190.68,0,125.4,162.14,7.77,1090,804.01,28,26.400036,1
190.68,0,125.4,162.14,7.77,1090,804.01,56,35.34254,0
190.68,0,125.4,162.14,7.77,1090,804.01,100,40.568768,0
212.07,0,121.62,180.31,5.69,1057.6,779.32,3,12.472621,1
212.07,0,121.62,180.31,5.69,1057.6,779.32,14,20.918702,1
212.07,0,121.62,180.31,5.69,1057.6,779.32,28,24.903873,1
212.07,0,121.62,180.31,5.69,1057.6,779.32,56,34.204904,1
212.07,0,121.62,180.31,5.69,1057.6,779.32,100,39.610396,0
229.97,0,118.31,195.47,4.63,1029.4,758.59,3,10.031876,1
229.97,0,118.31,195.47,4.63,1029.4,758.59,14,20.084436,1
229.97,0,118.31,195.47,4.63,1029.4,758.59,28,24.483293,1
229.97,0,118.31,195.47,4.63,1029.4,758.59,56,31.536632,1
229.97,0,118.31,195.47,4.63,1029.4,758.59,100,35.34254,0
190.34,0,125.18,161.85,9.88,1088.1,802.59,3,9.445821,1
190.34,0,125.18,161.85,9.88,1088.1,802.59,14,22.718234,1
190.34,0,125.18,161.85,9.88,1088.1,802.59,28,28.468464,1
190.34,0,125.18,161.85,9.88,1088.1,802.59,56,38.562393,0
190.34,0,125.18,161.85,9.88,1088.1,802.59,100,40.389504,0
166.09,0,163.27,176.46,4.49,1058.6,780.09,3,10.76272,1
166.09,0,163.27,176.46,4.49,1058.6,780.09,14,25.483033,1
166.09,0,163.27,176.46,4.49,1058.6,780.09,28,21.53923,1
166.09,0,163.27,176.46,4.49,1058.6,780.09,56,28.627044,1
166.09,0,163.27,176.46,4.49,1058.6,780.09,100,33.543007,1
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,3,7.74971,1
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14,17.822955,1
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,28,24.241976,1
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56,32.853531,1
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,100,39.231184,0
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3,17.995324,1
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,14,30.385207,1
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28,45.705364,0
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56,50.773013,0
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100,53.903234,0
213.76,98.06,24.52,181.74,6.65,1066,785.52,3,13.182781,1
213.76,98.06,24.52,181.74,6.65,1066,785.52,14,17.836744,1
213.76,98.06,24.52,181.74,6.65,1066,785.52,28,40.230925,0
213.76,98.06,24.52,181.74,6.65,1066,785.52,56,47.132579,0
213.76,98.06,24.52,181.74,6.65,1066,785.52,100,49.97322,0
229.68,0,118.16,195.23,6.13,1028.1,757.63,3,13.35515,1
229.68,0,118.16,195.23,6.13,1028.1,757.63,14,22.318338,1
229.68,0,118.16,195.23,6.13,1028.1,757.63,28,24.538451,1
229.68,0,118.16,195.23,6.13,1028.1,757.63,56,31.350474,1
229.68,0,118.16,195.23,6.13,1028.1,757.63,100,40.858348,0
238.05,0,94.11,186.66,7,949.91,847.01,3,19.932751,1
238.05,0,94.11,186.66,7,949.91,847.01,14,25.689876,1
238.05,0,94.11,186.66,7,949.91,847.01,28,30.233523,1
238.05,0,94.11,186.66,7,949.91,847.01,56,39.589712,0
238.05,0,94.11,186.66,7,949.91,847.01,100,44.298833,0
