@relation friedman
@attribute Input1 numeric
@attribute Input2 numeric
@attribute Input3 numeric
@attribute Input4 numeric
@attribute Input5 numeric
@attribute class numeric
@attribute group {0,1}
@data
0.696481734,0.358437482,0.425834333,0.330313732,0.222490899,11.09496205,1
0.590389914,0.430674851,0.869041807,0.070911615,0.634302531,13.22920864,1
0.827655687,0.617833022,0.949440873,0.670138426,0.640808376,25.33973015,0
0.810716912,0.262116166,0.454194418,0.854706083,0.279769507,15.18159268,0
0.406842974,0.816174501,0.861105547,0.12890196,0.15747881,14.43309768,1
0.629993971,0.382116956,0.981954321,0.984712732,0.075063183,20.97857039,0
0.396406061,0.315256698,0.347357948,0.613738967,0.74171863,15.96105622,0
0.8094974,0.285294399,0.087624217,0.768759468,0.198063851,20.00287231,0
0.348918298,0.93793359,0.657111548,0.703839001,0.614153159,17.70981392,0
0.548029942,0.413383545,0.051123134,0.291625666,0.266992933,15.32611201,0
0.203104513,0.900748882,0.466092439,0.705167627,0.662594105,15.52176063,0
0.456053481,0.112559629,0.659446458,0.634988445,0.432847142,12.49720348,1
0.223955849,0.681722949,0.412408452,0.474734244,0.576340976,12.5427904,1
0.424117752,0.471769451,0.459103323,0.065060205,0.167601327,7.06507689,1
0.433284593,0.499317833,0.011763717,0.742791589,0.167519885,20.38112218,0
0.621151546,0.540659514,0.028418189,0.306362804,0.000429891,16.06785189,0
0.052707712,0.853762347,0.011339209,0.573701099,0.529824847,15.44536423,0
0.631123985,0.479984359,0.137712336,0.684183525,0.577725423,22.57941214,0
0.700499157,0.81354487,0.035490404,0.762581405,0.523309215,25.83337711,0
0.583207559,0.892761865,0.025603404,0.662359421,0.243202237,23.25827706,0
0.616726053,0.077891674,0.185456891,0.583458072,0.353056907,12.43616494,1
0.172048074,0.895458185,0.506158798,0.196884252,0.8115676,10.55058958,1
0.774930708,0.805808285,0.054497505,0.431325383,0.25791271,18.78184418,0
0.481006148,0.17270916,0.387991218,0.67307538,0.48463126,11.1602997,1
0.706252438,0.316518497,0.739487809,0.721100291,0.137284358,16.47549621,0
0.114825756,0.91508028,0.214756135,0.331330511,0.208277663,8.067076362,1
0.551209624,0.641040743,0.872468471,0.724183363,0.416139242,22.11285684,0
0.51447639,0.883955857,0.541795776,0.187641679,0.040254545,12.49024223,1
0.584883811,0.355236015,0.984232039,0.354178341,0.596813273,18.61862838,0
0.248283344,0.602045717,0.902310398,0.801742163,0.121105138,15.93278752,0
0.796389209,0.549745433,0.26122744,0.726016421,0.418596574,20.14275154,0
0.625721395,0.421148868,0.314361707,0.557650295,0.894876801,19.7499727,0
0.270019289,0.070768623,0.229972695,0.773162405,0.439304999,11.08526148,1
0.735111545,0.741813187,0.558632608,0.542172079,0.883317248,20.954383,0
0.749100912,0.131380319,0.497436438,0.534581431,0.335558882,10.95570021,1
0.83677292,0.158174021,0.638384908,0.789509816,0.987225107,19.60063654,0
0.683078772,0.727944814,0.357343228,0.679170327,0.343104108,18.41810697,0
0.018420799,0.121995473,0.328866436,0.008591597,0.589397388,1.817550302,1
0.570494442,0.037243696,0.981664024,0.133704971,0.32784921,10.35955819,1
0.557746714,0.841800961,0.538561579,0.424596416,0.172727743,14.41203638,1
0.012879479,0.700688598,0.674048764,0.044236834,0.6612714,5.235463824,1
0.505968196,0.324976353,0.804087541,0.155063316,0.088158187,8.158757905,1
0.265398613,0.691105054,0.554066489,0.698311722,0.330749887,13.68017661,1
0.316781174,0.319241502,0.482121635,0.127908819,0.403834036,6.948990585,1
0.561718532,0.849029947,0.53443864,0.933205951,0.226973369,20.10895743,0
0.487778977,0.688656675,0.508529272,0.477311962,0.892103695,14.81404059,0
0.395472681,0.148524058,0.866104054,0.219236499,0.332988133,6.693455771,1
0.811999986,0.863192169,0.621615763,0.099730515,0.664716846,12.23798743,1
0.577508646,0.923741555,0.277143264,0.035327113,0.158904457,11.40453614,1
0.851480948,0.60571811,0.968884272,0.623758132,0.139941572,20.29652352,0
0.443988333,0.620743764,0.535835731,0.65404161,0.553980262,16.6722463,0
0.466320775,0.947663007,0.209719469,0.86623526,0.507813121,22.58787569,0
0.197505366,0.91152717,0.31965984,0.590613887,0.630308013,13.50933785,1
0.629422662,0.771288352,0.03423097,0.393681162,0.554015495,21.98104389,0
