@relation laser
@attribute Input1 numeric
@attribute Input2 numeric
@attribute Input3 numeric
@attribute Input4 numeric
@attribute class numeric
@attribute group {0,1}
@data
95,32,138,111,48,0
41,72,111,48,23,1
21,111,23,19,27,1
32,48,19,27,59,0
72,23,27,59,129,0
138,19,59,129,129,0
48,59,129,58,27,1
23,129,58,27,19,1
27,58,19,24,46,0
59,27,24,46,112,0
129,19,46,112,144,0
129,24,112,144,73,0
58,46,144,73,30,1
27,112,73,30,20,1
19,144,30,20,19,1
24,73,20,19,37,1
46,30,19,37,92,0
144,19,92,152,93,0
73,37,152,93,36,1
20,152,36,20,18,1
19,93,20,18,29,1
37,36,18,29,71,0
92,20,29,71,146,0
152,18,71,146,117,0
36,71,117,46,23,1
20,146,46,23,18,1
18,117,23,18,22,1
29,46,18,22,52,0
71,23,22,52,128,0
146,18,52,128,142,0
46,52,142,62,26,1
23,128,62,26,17,1
18,142,26,17,19,1
52,26,19,37,100,0
128,17,37,100,158,0
142,19,100,158,86,0
62,37,158,86,32,1
26,100,86,32,17,1
17,158,32,17,17,1
19,86,17,17,27,1
37,32,17,27,72,0
158,17,72,154,118,0
17,154,43,20,15,1
17,118,20,15,21,1
27,43,15,21,47,0
72,20,21,47,128,0
154,15,47,128,150,0
118,21,128,150,63,0
43,47,150,63,24,1
20,128,63,24,16,1
15,150,24,16,17,1
21,63,16,17,33,1
47,24,17,33,92,0
128,16,33,92,166,0
150,17,92,166,95,0
63,33,166,95,33,1
24,92,95,33,16,1
16,166,33,16,14,1
17,95,16,14,22,1
166,14,58,149,137,0
95,22,149,137,50,0
33,58,137,50,20,1
16,149,50,20,15,1
22,50,15,16,35,1
58,20,16,35,106,0
149,15,35,106,169,0
137,16,106,169,82,0
50,35,169,82,28,1
20,106,82,28,15,1
16,82,15,14,23,1
35,28,14,23,65,0
106,15,23,65,160,0
82,23,160,133,45,1
23,45,14,16,36,1
65,18,16,36,111,0
160,14,36,111,176,0
133,16,111,176,80,0
45,36,176,80,26,1
18,111,80,26,14,1
14,176,26,14,13,1
16,80,14,13,20,1
36,26,13,20,60,0
111,14,20,60,163,0
176,13,60,163,140,0
80,20,163,140,45,1
26,60,140,45,18,1
14,163,45,18,12,1
13,140,18,12,14,1
60,18,14,30,98,0
140,14,98,185,93,0
45,30,185,93,28,1
18,98,93,28,14,1
12,185,28,14,12,1
14,93,14,12,17,1
30,28,12,17,46,0
98,14,17,46,145,0
185,12,46,145,167,0
