@relation mortgage
@attribute X1MonthCDRate numeric
@attribute X1Y-CMaturityRate numeric
@attribute X3M-Rate-AuctionAverage numeric
@attribute X3M-Rate-SecondaryMarket numeric
@attribute X3Y-CMaturityRate numeric
@attribute X5Y-CMaturityRate numeric
@attribute bankCredit numeric
@attribute currency numeric
@attribute demandDeposits numeric
@attribute federalFunds numeric
@attribute moneyStock numeric
@attribute checkableDeposits numeric
@attribute loansLeases numeric
@attribute savingsDeposits numeric
@attribute tradeCurrencies numeric
@attribute class numeric
@attribute group {0,1}
@data
8.72,90.729,9.69,7.62,7.6,7.72,7.69,2605.8,223.4,279.6,8.52,794.4,564.8,2020.2,894.7,7.66,0
13.85,109.392,17.19,12.06,12.47,13.94,13.82,1347.4,124.4,230.8,14.35,443,314.8,1033.8,343.9,13.73,0
6.59,87.979,9.94,5.74,5.67,7.42,7.73,2280.2,198.9,287.2,6.77,755.9,551,1743.9,936.5,6.65,1
17.43,96.064,15.07,15.2,15.01,13.13,12.89,1237.4,115.5,241.9,18.12,410.3,291.3,933.1,377.5,14.24,0
3.16,85.121,8.21,2.97,2.94,4.93,5.85,2937.9,288.7,336.4,2.96,1012.5,715.6,2110.2,1179.5,3.5,1
7.57,86.024,10.61,5.73,5.73,8.08,8.38,2255.3,197.9,287.5,6.81,750.3,546.7,1718.2,935.2,7.15,0
6.3,87.478,9.52,5.86,5.82,7.36,7.79,2771.1,256.4,278,6.1,843.8,580.3,2115.2,949.5,6.34,1
5.56,100.143,6.92,4.91,4.92,5.29,5.32,4336.6,445.7,373,5.59,1070.9,616.4,3183.2,1527.3,5.24,1
7.81,94.47,11.58,6.96,6.98,9.43,9.73,2229.8,193.1,293.9,7.59,754.8,555.1,1704,950.7,8.33,0
11.1,92.872,13.43,10.46,10.45,12.06,12.01,1181.3,112.8,263.9,10.85,405.7,288.8,891,193.2,12.07,0
9.06,88.515,10.71,8.3,8.24,9.14,9.09,2439.5,213.2,285.2,9.13,785.5,566.1,1877.5,916.1,8.96,0
17.84,108.576,17.48,15.83,15.71,16.39,16.04,1286.6,119.7,231.9,17.41,427.5,303,975.2,351.6,17.07,0
3.1,86.414,7.57,2.92,2.91,4.38,5.21,2988.2,300.6,348.1,3.11,1045.1,736.9,2114.5,1188.2,3.31,1
5.4,86.534,8.92,5.18,5.16,6.38,7.04,2808.4,263.2,279.3,5.29,871.3,600,2107.4,1011,5.5,1
5.93,77.839,7.63,5.53,5.43,5.74,5.85,3526.8,367.6,387.8,6.21,1150.3,772.5,2542.6,1092.6,5.53,1
5.56,98.385,6.91,4.96,4.94,5.44,5.41,4275.9,441.5,375.7,5.47,1071.7,621.1,3145,1504.9,5.34,1
4.43,84.839,8.57,4.2,4.16,6.46,6.89,3224.5,342.2,381.1,4.19,1145.9,794.6,2252.4,1208,5.47,1
5.57,95.499,7.22,4.94,4.91,5.69,5.72,4226.2,435.2,385.8,5.4,1078.6,635.3,3107.8,1470.4,5.45,1
3.88,85.363,8.59,3.75,3.71,5.77,6.61,2892.2,276.2,312.4,3.85,952.6,668.7,2106.4,1130.8,4.27,1
9.3,119.315,13.65,9.13,9.13,11.06,11.39,1502.9,141,239.2,9.46,511.5,364.8,1119.2,689.7,10.31,0
9.25,128.936,13.63,8.73,8.68,11.05,11.53,1726.2,155.8,244,9.55,549.4,389.2,1320.9,693.4,9.99,0
7.75,127,12.11,7.07,7.07,9.22,9.66,1853,164.7,258.4,7.78,600.1,428.8,1423.4,788.7,7.97,0
7.86,81.967,10.02,7.05,7.07,7.7,8,2746.1,245.8,278,7.94,823.7,570.6,2110.9,922.9,7.3,0
3.18,88.94,7.17,3.06,3.06,4.54,5.16,3107.4,322.6,386.3,2.99,1131.5,801.4,2194.2,1218.9,3.6,1
9.36,94.842,10.2,8.17,8.18,8.33,8.28,2505.7,217.3,276.6,9.68,773,548.7,1944.2,858.2,8.4,0
7.93,87.198,10.64,5.96,5.83,8.12,8.41,2252.9,197.4,287.3,6.75,749.5,546.4,1717.7,935.9,7.19,0
13.54,117.652,16.88,11.8,11.71,14.08,14.1,1384.2,128.1,226.7,13.18,448.9,315.6,1064,341.8,13.46,0
18.02,109.709,17.26,15.71,15.63,15.98,15.51,1280.3,120.1,230.9,18.19,426.8,301.8,970.5,352.9,16.74,0
5.49,85.834,7.74,4.76,4.88,5.98,6.15,3760.3,394.4,403.3,5.38,1082.2,679.5,2784.3,1273,5.51,1
6.78,107.239,10.61,6.11,6.1,7.25,7.45,1993,173.8,279.6,6.87,662.6,481.9,1527.6,872.4,6.61,1
3.6,87.96,7.8,3.61,3.49,5.45,6,3175,332.6,388.2,3.31,1141.2,800.8,2219.9,1226.6,4.36,1
