@relation ozone
@attribute class numeric
@attribute VDB500HT numeric
@attribute WDSP numeric
@attribute HMDTY numeric
@attribute SDAFBTMP numeric
@attribute INVHT numeric
@attribute DAGPG numeric
@attribute INVTMP numeric
@attribute VZBLTY numeric
@attribute group {0,1}
@data
2,5480,9,72,36,5000,0,39,350,1
3,5600,7,76,42,3799,-18,46,250,1
3,5490,11,72,37,5000,32,38,350,1
4,5560,10,72,41,5000,-1,38,300,1
6,5700,3,32,46,5000,-30,46,300,1
8,5680,5,50,51,5000,-8,46,300,1
6,5700,4,86,55,2398,21,54,200,1
4,5650,5,61,41,5000,51,36,100,1
3,5610,5,62,41,4281,42,41,250,1
7,5730,5,66,49,1161,27,53,200,1
11,5770,5,68,45,2778,2,56,200,0
13,5770,3,82,55,442,26,58,40,0
6,5690,8,21,41,5000,-30,42,300,1
5,5700,3,19,45,5000,-53,44,300,1
4,5730,11,19,51,5000,-43,49,300,1
4,5690,7,19,53,5000,7,49,300,1
6,5640,5,68,50,5000,24,42,300,1
10,5720,6,63,60,1341,19,59,150,0
15,5740,3,54,54,1318,2,65,150,0
23,5740,3,47,53,885,-4,67,80,0
17,5740,3,56,53,360,3,67,40,0
7,5670,7,61,44,3497,73,49,40,1
2,5550,10,74,40,5000,73,40,80,1
3,5470,7,46,30,5000,44,29,300,1
3,5320,11,45,25,5000,39,28,200,1
4,5530,3,43,40,5000,-12,34,140,1
6,5600,3,21,45,5000,-2,39,140,1
7,5660,7,57,51,5000,30,42,140,1
7,5580,5,42,48,3608,24,39,100,1
6,5510,5,50,45,5000,38,33,140,1
3,5530,5,61,47,5000,56,36,200,1
2,5620,9,61,43,5000,66,34,120,1
8,5690,0,60,49,613,-27,60,300,1
12,5760,4,31,56,334,-9,64,300,0
12,5740,3,66,53,567,13,62,150,0
16,5780,5,53,61,488,-20,65,2,0
9,5790,2,42,63,531,-15,71,50,1
24,5760,3,60,70,508,7,67,70,0
13,5700,4,82,57,1571,68,56,17,0
8,5680,4,57,35,721,28,55,140,1
10,5720,5,21,52,505,-49,67,140,0
8,5720,5,19,59,377,-27,73,300,1
9,5730,4,32,67,442,-9,76,200,1
10,5710,5,77,57,902,54,60,250,0
