@relation plastic
@attribute Strength numeric
@attribute Temperature numeric
@attribute class numeric
@attribute group {0,1}
@data
30.7,240,16,0
24.7,250,18,0
30.6,260,16,0
32.8,240,10,1
20.7,240,20,0
34.5,260,16,0
41.9,290,12,1
36.4,280,12,1
22.2,200,12,1
20.7,210,14,1
30.7,250,14,1
40.6,280,10,1
20.5,210,18,0
34.2,290,18,0
24.2,220,14,1
18.8,210,18,0
36.2,260,10,1
32.6,270,16,0
24.6,240,18,0
43,280,10,1
41,300,16,0
30.6,260,16,0
41,270,10,1
29.5,220,10,1
28.2,240,14,1
20.2,220,18,0
20.5,210,20,0
24.6,200,10,1
29.2,260,16,0
34.8,260,12,1
33.9,240,10,1
41.8,270,10,1
18.6,210,18,0
33.2,260,12,1
31.9,270,18,0
24.2,250,20,0
22.2,220,18,0
27.5,240,16,0
32.2,260,14,1
32.6,250,12,1
34.6,280,16,0
27.3,230,14,1
30.2,230,12,1
24.2,240,18,0
24.4,250,18,0
22.8,200,12,1
28.7,250,14,1
32.2,280,18,0
28.7,260,16,0
44.7,300,14,1
35.3,290,18,0
32.2,250,14,1
37.3,280,14,1
26.5,220,14,1
36.5,280,16,0
41.5,290,12,1
42.6,300,12,1
38.5,280,14,1
36.2,300,18,0
21.3,200,14,1
30.1,220,10,1
26.7,200,12,1
22.8,230,18,0
30.2,260,18,0
23.8,230,20,0
31.7,250,12,1
26.2,240,16,0
32.7,280,16,0
18.6,220,20,0
39.5,270,10,1
23.7,240,18,0
40.4,300,12,1
34.7,270,18,0
31.7,280,18,0
27.2,250,16,0
22.8,220,16,0
37.5,290,16,0
29.3,270,20,0
30.3,250,14,1
25.7,260,20,0
41,290,14,1
26.2,200,10,1
26.6,220,12,1
32.6,240,10,1
34.2,250,10,1
27.3,240,16,0
16.2,210,20,0
33.8,260,16,0
30.7,210,10,1
16.6,210,20,0
39.8,270,12,1
28.2,220,10,1
36.2,280,14,1
36.2,280,14,1
29.7,260,16,0
26.2,210,10,1
44.1,300,12,1
33.5,260,14,1
32.8,260,14,1
30.8,270,18,0
20.6,200,14,1
32.7,280,18,0
33.7,280,16,0
31.7,250,12,1
33,270,18,0
26.7,260,18,0
26.8,220,12,1
34.4,290,16,0
34.7,290,16,0
30.7,260,14,1
28.8,270,20,0
30.5,230,12,1
20.7,220,18,0
20.3,220,18,0
24.7,220,14,1
22.2,210,14,1
27.9,210,10,1
29,210,10,1
