@relation pwlinear
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class numeric
@attribute group {0,1}
@data
-1,-1,-1,0,0,-1,0,0,0,1,-0.62,1
1,-1,-1,0,0,-1,1,1,1,0,-5.92,1
1,-1,-1,1,0,1,0,-1,-1,1,0.51,0
-1,1,-1,0,0,1,-1,1,-1,0,3.33,0
1,-1,-1,0,0,-1,0,-1,1,0,-7.83,1
1,-1,-1,1,1,0,1,1,-1,-1,1.88,0
-1,-1,1,-1,1,-1,1,1,1,0,3.64,0
-1,-1,0,0,1,0,-1,-1,0,1,1.94,0
1,1,1,0,-1,1,-1,-1,-1,1,-5.6,1
1,0,-1,-1,1,0,0,-1,1,0,-0.9,1
-1,-1,0,-1,0,1,0,-1,1,-1,-0.89,1
-1,0,0,1,1,1,0,-1,1,-1,6.44,0
-1,0,0,0,1,-1,1,0,1,-1,4.7,0
1,0,0,-1,0,0,0,1,-1,-1,-4.5,1
-1,1,1,0,1,-1,1,0,0,1,9.78,0
1,0,1,-1,1,0,0,0,1,-1,-0.76,1
-1,-1,-1,-1,-1,0,1,1,-1,0,-3.18,1
-1,1,1,0,-1,0,0,-1,1,1,7.18,0
1,0,-1,1,-1,1,-1,1,-1,-1,-5.66,1
-1,-1,-1,-1,-1,0,-1,0,0,1,-1.54,1
-1,-1,-1,1,0,1,1,0,-1,0,0.39,0
-1,0,-1,0,-1,0,1,0,-1,-1,-1.57,1
1,-1,0,-1,0,1,0,1,0,-1,0.88,0
1,-1,-1,0,0,0,1,-1,1,-1,-2.88,1
-1,0,1,1,-1,1,0,0,-1,0,5.45,0
1,-1,1,0,-1,1,1,1,1,0,-3.3,1
1,-1,1,1,1,-1,1,1,-1,0,1.15,0
-1,1,0,-1,-1,1,1,1,1,1,4.61,0
1,0,0,0,-1,-1,0,-1,0,1,-7.39,1
-1,0,0,-1,1,-1,0,0,-1,1,3.49,0
1,0,1,-1,-1,0,-1,0,0,0,-4.94,1
-1,0,-1,1,1,1,0,0,0,1,0.13,0
-1,0,-1,-1,0,1,-1,0,-1,-1,-0.5,0
1,1,1,-1,0,1,-1,-1,1,-1,-3.36,1
-1,-1,-1,1,1,0,-1,0,0,0,-2.35,1
1,0,1,1,-1,1,1,-1,0,1,-1.22,1
1,-1,1,1,-1,-1,-1,1,-1,1,-8.73,1
-1,-1,1,0,-1,0,-1,-1,1,1,1.43,0
1,0,1,-1,0,1,0,1,0,1,-0.79,1
1,-1,1,1,0,0,1,1,1,0,-2.5,1
-1,1,-1,-1,0,0,0,-1,0,0,6.01,0
1,1,-1,0,0,1,-1,1,1,1,-1.57,1
-1,-1,1,0,0,1,-1,-1,-1,0,0.82,0
-1,1,1,1,1,1,1,-1,-1,0,10.65,0
1,0,-1,-1,0,0,-1,-1,1,1,-4.04,1
1,-1,1,0,1,1,1,0,0,-1,5.54,0
1,0,-1,0,1,-1,0,-1,0,1,-5.48,1
-1,-1,1,-1,-1,0,0,-1,-1,0,1.24,0
-1,1,1,0,0,-1,-1,0,0,-1,7.54,0
1,1,0,-1,0,-1,-1,0,1,-1,-6.52,1
-1,0,0,0,-1,1,1,-1,0,1,3.35,0
-1,-1,1,0,0,-1,0,0,0,0,1.5,0
-1,-1,0,-1,0,1,0,0,-1,-1,1.26,0
1,-1,1,-1,0,-1,1,1,1,-1,-4.71,1
1,1,-1,0,-1,1,1,0,0,0,-0.63,1
-1,-1,-1,-1,0,0,-1,1,0,-1,-1.57,1
-1,1,-1,0,1,0,0,0,-1,1,5.99,0
1,-1,1,0,0,0,0,1,1,1,-3.26,1
1,1,-1,-1,0,0,-1,0,1,1,-4.23,1
1,0,0,0,0,0,-1,0,1,1,-0.87,1
