% ========================================================================================================
% Methane dataset
% ========================================================================================================
% The data describe the problem of methane concentration forecasting (i.e. the task is to
% predict the maximal value of methane concentration registered by MM116 sensor for next 3 minutes). 
% Data come from a longwall located in a Polish coal mine.
%
%Source:
%
%Provide the names, email addresses, institutions, and other contact information of the donors and creators of the data set. 
%
%Marek Sikora^{1,2} (marek.sikora '@' polsl.pl), Lukasz Wrobel^{1} (lukasz.wrobel '@' polsl.pl), Adam Gudys^{1} (adam.gudys '@' polsl.pl) 
%(1) Institute of Computer Science, Silesian University of Technology, 44-100 Gliwice, Poland 
%(2) Institute of Innovative Technologies EMAG, 40-189 Katowice, Poland
%
%
%Data Set Information:
%
%The set contains 13 368 train and 5 728 test instances characterized by 7 attributes. 
%The meaning of the following features is as follows:
%- methane concentration registered by MM116 sensor ([%],)
%- methane concentration registered by M31 sensor ([%]),
%- air velocity measured by AS038 sensor (AS038 [m/s]),
%- airflow (PG072 [m/s]),
%- atmospheric pressure (BA13 [hPa]),
%- PD feature contains information about production process (if PD=1 then production is carried out)
%The location of sensors is depicted in the attached figure (fig.pdf). 
%The attributes store averaged measurements from 30-second periods. 
%The MM116PRed feature is the dependent one. Teh feature stores the information about the maximal value of methane concentration registered
%by MM116 for next 3 minutes.
%
%
@RELATION Methane

@ATTRIBUTE 'MM31' real
@ATTRIBUTE 'MM116' real
@ATTRIBUTE 'AS038' real
@ATTRIBUTE 'PG072' real
@ATTRIBUTE 'PD' real
@ATTRIBUTE 'BA13' real
@ATTRIBUTE 'DMM116' real
@ATTRIBUTE 'MM116_pred' real

@DATA
0.46,1.3,2.4,2.0,1.0,1076.0,0.0,1.3
0.46,1.3,2.2,1.9,1.0,1076.0,0.0,1.3
0.49,1.3,2.2,1.9,1.0,1076.0,0.0,1.3
0.5,1.3,2.3,1.9,1.0,1076.0,0.0,1.3
0.54,1.3,2.3,1.9,1.0,1076.0,0.0,1.3
0.5,1.3,2.4,1.9,1.0,1076.0,0.0,1.3
0.51,1.3,2.4,1.9,1.0,1076.0,0.0,1.3
0.59,1.3,2.4,1.7,1.0,1076.0,0.0,1.4
0.53,1.3,2.4,1.7,1.0,1076.0,0.0,1.4
0.49,1.3,2.4,2.0,1.0,1076.0,0.0,1.4
0.52,1.3,2.4,2.0,1.0,1076.0,0.0,1.4
0.52,1.3,2.4,1.8,1.0,1076.0,0.0,1.4
0.55,1.3,2.4,1.8,1.0,1076.0,0.0,1.4
0.57,1.4,2.3,1.9,1.0,1076.0,0.1,1.4
0.59,1.4,2.3,1.9,1.0,1076.0,0.0,1.3
0.53,1.2,2.4,1.9,1.0,1076.0,-0.2,1.3
0.48,1.2,2.4,1.9,1.0,1076.0,0.0,1.3
0.56,1.3,2.4,2.0,1.0,1076.0,0.1,1.3
0.56,1.3,2.4,2.0,1.0,1076.0,0.0,1.3
0.59,1.3,2.4,2.0,1.0,1076.0,0.0,1.3
0.56,1.3,2.4,2.0,1.0,1076.0,0.0,1.2
0.52,1.2,2.4,1.9,1.0,1076.0,-0.1,1.2
0.5,1.2,2.4,1.9,1.0,1076.0,0.0,1.2
0.48,1.2,2.3,1.7,1.0,1076.0,0.0,1.2
0.48,1.2,2.3,1.7,1.0,1076.0,0.0,1.2
0.48,1.2,2.3,1.8,1.0,1076.0,0.0,1.2
0.48,1.2,2.3,1.8,1.0,1076.0,0.0,1.2
0.51,1.2,2.4,1.7,1.0,1076.0,0.0,1.3
0.56,1.2,2.4,1.7,1.0,1076.0,0.0,1.3
0.58,1.2,2.4,1.9,1.0,1076.0,0.0,1.3
0.58,1.2,2.4,1.9,1.0,1076.0,0.0,1.3
0.56,1.2,2.3,2.0,1.0,1076.0,0.0,1.3
0.51,1.2,2.3,2.0,1.0,1076.0,0.0,1.3
0.54,1.3,2.3,1.8,1.0,1076.0,0.1,1.3
0.58,1.3,2.3,1.8,1.0,1076.0,0.0,1.3
0.6,1.3,2.3,2.0,1.0,1076.0,0.0,1.3
0.63,1.3,2.3,2.0,1.0,1076.0,0.0,1.2
0.62,1.2,2.3,2.0,1.0,1076.0,-0.1,1.4
0.57,1.2,2.3,2.0,1.0,1076.0,0.0,1.4
0.51,1.2,2.4,1.9,1.0,1076.0,0.0,1.4
0.5,1.2,2.4,1.9,1.0,1076.0,0.0,1.4
0.53,1.2,2.4,1.9,1.0,1076.0,0.0,1.5
0.55,1.2,2.4,1.9,1.0,1076.0,0.0,1.5
0.53,1.4,2.3,2.0,0.0,1076.0,0.2,1.5
0.54,1.4,2.3,2.0,0.0,1076.0,0.0,1.5
0.52,1.4,2.4,1.8,0.0,1076.0,0.0,1.5
