Parameters: min_rule_covered=5.0; induction_measure=LogRankStatistics; pruning_measure=LogRankStatistics; voting_measure=LogRankStatistics; 
Dataset, time started, elapsed[s], time_total_s,time_growing_s,time_pruning_s,#rules,#conditions_per_rule,#induced_conditions_per_rule,avg_rule_coverage,avg_rule_precision,avg_rule_quality,avg_pvalue,avg_FDR_pvalue,avg_FWER_pvalue,fraction_0.05_significant,fraction_0.05_FDR_significant,fraction_0.05_FWER_significant,integrated_brier_score,
bmt-test-0.arff,2019.06.06_09.01.27,0.024355344,2.331773563, 1.8943908980000002, 0.43512169500000003, 4.0, 2.0, 25.5, 0.37648809523809523, 1.0, 0.9846075350188652, 0.015392464981134807, 0.01589389331553483, 0.01689674998433488, 0.75, 0.75, 0.75, 0.2755317172958846, 
bmt-test-1.arff,2019.06.06_09.01.27,0.024208661,3.541993211, 2.892201773, 0.6474932630000001, 4.0, 3.0, 41.0, 0.33630952380952384, 1.0, 0.9825664570619637, 0.01743354293803631, 0.018934300139908312, 0.021935814543652288, 0.75, 0.75, 0.75, 0.27158779232962993, 
bmt-test-2.arff,2019.06.06_09.01.27,0.024022207,2.026886585, 1.657598131, 0.36706682999999996, 4.0, 2.75, 24.25, 0.37202380952380953, 1.0, 0.9917769728391209, 0.008223027160879082, 0.008717499520132463, 0.009706444238639228, 1.0, 1.0, 1.0, 0.18312840459816768, 
bmt-test-3.arff,2019.06.06_09.01.27,0.024206523,3.173701173, 2.589145125, 0.58221853, 4.0, 3.75, 41.25, 0.33184523809523814, 1.0, 0.9979946192328957, 0.0020053807671043533, 0.0021160433064807784, 0.0023373683852306315, 1.0, 1.0, 1.0, 0.22750134889312537, 
bmt-test-4.arff,2019.06.06_09.01.27,0.025040434,3.823674787, 3.090496919, 0.7308595950000001, 4.0, 3.25, 42.5, 0.33779761904761907, 1.0, 0.9633300594476879, 0.03666994055231204, 0.03698142083472262, 0.037604381399543585, 0.75, 0.75, 0.75, 0.2080173612911904, 
bmt-test-5.arff,2019.06.06_09.01.27,0.02450502,4.116697557, 3.410588877, 0.703497469, 4.0, 3.5, 43.0, 0.3288690476190476, 1.0, 0.8730651972912609, 0.12693480270873908, 0.12728600164766332, 0.12798839952551175, 0.75, 0.75, 0.75, 0.20426722189795532, 
bmt-test-6.arff,2019.06.06_09.01.27,0.024939509,3.457621479, 2.809777546, 0.6456612230000001, 4.0, 3.0, 41.5, 0.34226190476190477, 1.0, 0.9924730847742642, 0.0075269152257357586, 0.00792173033375528, 0.008711360549794295, 1.0, 1.0, 1.0, 0.20847321689870663, 
bmt-test-7.arff,2019.06.06_09.01.27,0.024630321,3.060020236, 2.460186076, 0.5976095389999999, 4.0, 3.0, 38.75, 0.3357988165680474, 1.0, 0.9481503746737429, 0.05184962532625709, 0.05206878481943166, 0.05250710380578072, 0.75, 0.75, 0.75, 0.18951855996866956, 
bmt-test-8.arff,2019.06.06_09.01.27,0.024630748,3.269534267, 2.688979712, 0.578162298, 4.0, 4.0, 39.5, 0.32248520710059175, 1.0, 0.9912170170480076, 0.00878298295199248, 0.009383629549802716, 0.010584922745422803, 1.0, 1.0, 1.0, 0.20257723287738116, 
bmt-test-9.arff,2019.06.06_09.01.27,0.024439162,1.982607602, 1.6216048050000003, 0.35877646799999996, 4.0, 2.5, 24.0, 0.363905325443787, 1.0, 0.9930596565798435, 0.006940343420156481, 0.007891806665638398, 0.009794733156602231, 1.0, 1.0, 1.0, 0.2769371806303743, 
