Parameters: min_rule_covered=5.0; induction_measure=LogRankStatistics; pruning_measure=LogRankStatistics; voting_measure=LogRankStatistics; 
Dataset, time started, elapsed[s], time_total_s,time_growing_s,time_pruning_s,#rules,#conditions_per_rule,#induced_conditions_per_rule,avg_rule_coverage,avg_rule_precision,avg_rule_quality,avg_pvalue,avg_FDR_pvalue,avg_FWER_pvalue,fraction_0.05_significant,fraction_0.05_FDR_significant,fraction_0.05_FWER_significant,integrated_brier_score,
bmt-test-0.arff,2019.06.06_09.01.28,0.023156222,0.001372747, 5.1745E-5, 3.1816799999999997E-4, 2.0, 1.0, 0.0, 0.5, 1.0, 0.9947298149355039, 0.005270185064496058, 0.007905277596744087, 0.007905277596744087, 1.0, 1.0, 1.0, 0.2423588142227214, 
bmt-test-1.arff,2019.06.06_09.01.28,0.0224861,0.001382155, 5.4311E-5, 3.2501199999999996E-4, 2.0, 1.0, 0.0, 0.5, 1.0, 0.9632408866020025, 0.036759113397997534, 0.0551386700969963, 0.0551386700969963, 1.0, 0.0, 0.0, 0.27271312745285314, 
bmt-test-2.arff,2019.06.06_09.01.28,0.021903217,0.001389853, 5.3027999999999994E-5, 3.2544E-4, 2.0, 1.0, 0.0, 0.5, 1.0, 0.9850272509389512, 0.01497274906104884, 0.02245912359157326, 0.02245912359157326, 1.0, 1.0, 1.0, 0.20419715450204667, 
bmt-test-3.arff,2019.06.06_09.01.28,0.021583337,0.001372747, 5.2602E-5, 3.2030700000000004E-4, 2.0, 1.0, 0.0, 0.5, 1.0, 0.9773059796231897, 0.022694020376810342, 0.03404103056521551, 0.03404103056521551, 1.0, 1.0, 1.0, 0.22254814810990406, 
bmt-test-4.arff,2019.06.06_09.01.28,0.021987891,0.001409524, 5.3456E-5, 3.25011E-4, 2.0, 1.0, 0.0, 0.5, 1.0, 0.9695555772464962, 0.030444422753503786, 0.04566663413025568, 0.04566663413025568, 1.0, 0.0, 0.0, 0.20657492349485945, 
bmt-test-5.arff,2019.06.06_09.01.28,0.024052569,0.001400116, 5.9015E-5, 3.2757800000000003E-4, 2.0, 1.0, 0.0, 0.5, 1.0, 0.9838709950669106, 0.01612900493308944, 0.024193507399634162, 0.024193507399634162, 1.0, 1.0, 1.0, 0.23164941932033942, 
bmt-test-6.arff,2019.06.06_09.01.28,0.022250465,0.001830757, 7.3555E-5, 4.3448900000000003E-4, 2.0, 1.0, 0.0, 0.5, 1.0, 0.9899362670227229, 0.01006373297727714, 0.01509559946591571, 0.01509559946591571, 1.0, 1.0, 1.0, 0.23785979873695887, 
bmt-test-7.arff,2019.06.06_09.01.28,0.022031083,0.001374885, 5.944300000000001E-5, 3.30571E-4, 2.0, 1.0, 0.0, 0.5, 1.0, 0.9790911341584493, 0.020908865841550717, 0.031363298762326075, 0.031363298762326075, 1.0, 1.0, 1.0, 0.21782149465492656, 
bmt-test-8.arff,2019.06.06_09.01.28,0.02180272,0.001338107, 5.5595E-5, 3.3057E-4, 2.0, 1.0, 0.0, 0.5, 1.0, 0.9727592427772174, 0.027240757222782686, 0.040861135834174, 0.040861135834174, 1.0, 0.0, 0.0, 0.22236481803416633, 
bmt-test-9.arff,2019.06.06_09.01.28,0.021062463,0.002030467, 9.4937E-5, 5.200179999999999E-4, 2.0, 1.0, 0.0, 0.5, 1.0, 0.9835785374861858, 0.016421462513814156, 0.024632193770721234, 0.024632193770721234, 1.0, 1.0, 1.0, 0.17458828602613732, 
