RuleGenerator: min_rule_covered=8.0; induction_measure=BinaryEntropy; pruning_enabled=true; pruning_measure=BinaryEntropy
Dataset, time started, elapsed[s], time_total_s,time_growing_s,time_pruning_s,#rules,#conditions_per_rule,#induced_conditions_per_rule,avg_rule_coverage,avg_rule_precision,avg_rule_quality,avg_pvalue,avg_FDR_pvalue,avg_FWER_pvalue,fraction_0.05_significant,fraction_0.05_FDR_significant,fraction_0.05_FWER_significant,accuracy,classification_error,kappa,balanced_accuracy,#rules_per_example,#voting_conflicts,#negative_voting_conflicts,cross-entropy,margin,soft_margin_loss,logistic_loss,precision,recall,lift,fallout,f_measure,false_positive,false_negative,true_positive,true_negative,sensitivity,specificity,youden,positive_predictive_value,negative_predictive_value,psep,geometric_mean,
seismic-bumps-test-0.arff,2019.04.25_09.04.32,0.039026347,0.03735809, 0.005142474, 0.00951304, 2.0, 1.0, 0.0, 0.5, 0.5536325599087105, 0.1815151563070494, 2.8895974958843127E-14, 4.334396243826469E-14, 4.334396243826469E-14, 1.0, 1.0, 1.0, 0.7984496124031008, 0.20155038759689925, 0.1674320466674941, 0.7117739403453689, 1.0, 0.0, 0.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.14545454545454545, 0.6153846153846154, 2.886713286713287, 0.19183673469387755, 0.23529411764705882, 47.0, 5.0, 8.0, 198.0, 0.6153846153846154, 0.8081632653061225, 0.42354788069073784, 0.14545454545454545, 0.9753694581280788, 0.12082400358262427, 0.7052171581778077, 
seismic-bumps-test-1.arff,2019.04.25_09.04.32,0.030573446,0.026038235, 0.0032621029999999997, 0.006753424, 2.0, 1.0, 0.0, 0.5, 0.5498075457403007, 0.18051721543228427, 2.1361088807547534E-13, 3.20416332113213E-13, 3.20416332113213E-13, 1.0, 1.0, 1.0, 0.803088803088803, 0.19691119691119696, 0.238367064521709, 0.6766666666666667, 1.0, 0.0, 0.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.25, 0.52, 2.5900000000000003, 0.16666666666666666, 0.33766233766233766, 39.0, 12.0, 13.0, 195.0, 0.52, 0.8333333333333334, 0.35333333333333333, 0.25, 0.9420289855072463, 0.19202898550724637, 0.6582805886043833, 
seismic-bumps-test-2.arff,2019.04.25_09.04.32,0.023195227,0.02638805, 0.00208051, 0.0063604149999999995, 2.0, 1.0, 0.0, 0.5, 0.5562008916052901, 0.19370036423403933, 1.3780541441814797E-15, 2.0670812162722195E-15, 2.0670812162722195E-15, 1.0, 1.0, 1.0, 0.751937984496124, 0.24806201550387597, 0.10299869621903518, 0.6097222222222223, 1.0, 0.0, 0.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.12903225806451613, 0.4444444444444444, 1.8494623655913978, 0.225, 0.2, 54.0, 10.0, 8.0, 186.0, 0.4444444444444444, 0.775, 0.21944444444444444, 0.12903225806451613, 0.9489795918367347, 0.07801184990125082, 0.5868938953886337, 
seismic-bumps-test-3.arff,2019.04.25_09.04.32,0.03038742,0.027864293, 0.002168605, 0.006665758, 2.0, 1.0, 0.0, 0.5, 0.5576127123217504, 0.20018844157231058, 2.381890137087398E-16, 3.5728352056310974E-16, 3.5728352056310974E-16, 1.0, 1.0, 1.0, 0.7451737451737451, 0.25482625482625487, 0.07107923051842188, 0.5717105263157894, 1.0, 0.0, 0.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.11475409836065574, 0.3684210526315789, 1.5642795513373597, 0.225, 0.175, 54.0, 12.0, 7.0, 186.0, 0.3684210526315789, 0.775, 0.14342105263157895, 0.11475409836065574, 0.9393939393939394, 0.05414803775459513, 0.5343466251315467, 
seismic-bumps-test-4.arff,2019.04.25_09.04.32,0.030732532,0.030199254, 0.002219496, 0.007435952000000001, 2.0, 1.0, 0.0, 0.5, 0.5532588183248682, 0.1850931344496377, 1.8532379059563254E-14, 2.779856858934488E-14, 2.779856858934488E-14, 1.0, 1.0, 1.0, 0.813953488372093, 0.18604651162790697, 0.17307692307692307, 0.6673553719008265, 1.0, 0.0, 0.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.16666666666666666, 0.5, 2.6875, 0.1652892561983471, 0.25, 40.0, 8.0, 8.0, 202.0, 0.5, 0.8347107438016529, 0.3347107438016529, 0.16666666666666666, 0.9619047619047619, 0.12857142857142856, 0.6460304728887225, 
seismic-bumps-test-5.arff,2019.04.25_09.04.32,0.026479995,0.028433494, 0.0021373869999999997, 0.007045081, 2.0, 1.0, 0.0, 0.5, 0.5566374851820202, 0.19374854864301935, 1.0574771402360184E-15, 1.5862157103540277E-15, 1.5862157103540277E-15, 1.0, 1.0, 1.0, 0.7596899224806202, 0.24031007751937983, 0.09565807327001363, 0.609245867768595, 1.0, 0.0, 0.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.11666666666666667, 0.4375, 1.88125, 0.2190082644628099, 0.18421052631578946, 53.0, 9.0, 7.0, 189.0, 0.4375, 0.78099173553719, 0.2184917355371901, 0.11666666666666667, 0.9545454545454546, 0.07121212121212121, 0.5845373249823492, 
seismic-bumps-test-6.arff,2019.04.25_09.04.32,0.028368919,0.026443217, 0.001751649, 0.006050371000000001, 2.0, 1.0, 0.0, 0.5, 0.5534625728372927, 0.1818750395964245, 2.7394806381476536E-14, 4.10922095722148E-14, 4.10922095722148E-14, 1.0, 1.0, 1.0, 0.8223938223938224, 0.17760617760617758, 0.1719488462607731, 0.7086707152496626, 1.0, 0.0, 0.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.14583333333333334, 0.5833333333333334, 3.1475694444444446, 0.1659919028340081, 0.23333333333333334, 41.0, 5.0, 7.0, 206.0, 0.5833333333333334, 0.8340080971659919, 0.41734143049932526, 0.14583333333333334, 0.976303317535545, 0.12213665086887836, 0.6974989056241082, 
seismic-bumps-test-7.arff,2019.04.25_09.04.32,0.028820944,0.017452335, 0.001022935, 0.003935649, 2.0, 1.0, 0.0, 0.5, 0.5553426611821676, 0.1928188260129094, 2.0731796593835454E-15, 3.109769489075318E-15, 3.109769489075318E-15, 1.0, 1.0, 1.0, 0.7906976744186046, 0.2093023255813954, 0.11878557874762799, 0.6145960458872346, 1.0, 0.0, 0.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.13725490196078433, 0.4117647058823529, 2.083044982698962, 0.1825726141078838, 0.20588235294117646, 44.0, 10.0, 7.0, 197.0, 0.4117647058823529, 0.8174273858921162, 0.22919209177446911, 0.13725490196078433, 0.9516908212560387, 0.08894572321682297, 0.5801618283996697, 
seismic-bumps-test-8.arff,2019.04.25_09.04.32,0.026385058,0.018856733, 0.001067412, 0.004279051, 2.0, 1.0, 0.0, 0.5, 0.5539449590333747, 0.19402575406771858, 3.2650709565977863E-15, 4.897606434896679E-15, 4.897606434896679E-15, 1.0, 1.0, 1.0, 0.8108108108108109, 0.18918918918918914, 0.153199439514246, 0.6148459383753502, 1.0, 0.0, 0.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.18181818181818182, 0.38095238095238093, 2.242424242424242, 0.15126050420168066, 0.24615384615384617, 36.0, 13.0, 8.0, 202.0, 0.38095238095238093, 0.8487394957983193, 0.22969187675070027, 0.18181818181818182, 0.9395348837209302, 0.12135306553911206, 0.5686205516270874, 
seismic-bumps-test-9.arff,2019.04.25_09.04.32,0.020363339,0.025597328, 0.0014762430000000001, 0.006192777, 2.0, 1.0, 0.0, 0.5, 0.5531193482412995, 0.18053212608935237, 4.135212879745429E-14, 6.202819319618143E-14, 6.202819319618143E-14, 1.0, 1.0, 1.0, 0.810077519379845, 0.18992248062015504, 0.18004929303411563, 0.7178963893249608, 1.0, 0.0, 0.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.15384615384615385, 0.6153846153846154, 3.0532544378698225, 0.17959183673469387, 0.24615384615384617, 44.0, 5.0, 8.0, 201.0, 0.6153846153846154, 0.8204081632653061, 0.4357927786499215, 0.15384615384615385, 0.9757281553398058, 0.12957430918595966, 0.7105396273322264, 
