RuleGenerator: min_rule_covered=8.0; induction_measure=BinaryEntropy; pruning_enabled=true; pruning_measure=BinaryEntropy
Dataset, time started, elapsed[s], time_total_s,time_growing_s,time_pruning_s,#rules,#conditions_per_rule,#induced_conditions_per_rule,avg_rule_coverage,avg_rule_precision,avg_rule_quality,avg_pvalue,avg_FDR_pvalue,avg_FWER_pvalue,fraction_0.05_significant,fraction_0.05_FDR_significant,fraction_0.05_FWER_significant,accuracy,classification_error,kappa,balanced_accuracy,#rules_per_example,#voting_conflicts,#negative_voting_conflicts,cross-entropy,margin,soft_margin_loss,logistic_loss,precision,recall,lift,fallout,f_measure,false_positive,false_negative,true_positive,true_negative,sensitivity,specificity,youden,positive_predictive_value,negative_predictive_value,psep,geometric_mean,
seismic-bumps-test-0.arff,2019.04.25_09.17.45,0.02584066,15.707224993, 11.661434100000001, 4.037054457, 39.0, 5.410256410256411, 273.5897435897436, 0.2471614083823885, 0.7044664153878925, 0.23455599933931998, 0.15886123812252292, 0.17080656003406908, 0.5773880180512047, 0.8205128205128205, 0.7948717948717948, 0.7948717948717948, 0.8217054263565892, 0.17829457364341084, 0.16762519287417627, 0.6875981161695448, 9.972868217054264, 218.0, 44.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.14893617021276595, 0.5384615384615384, 2.955810147299509, 0.16326530612244897, 0.23333333333333334, 40.0, 6.0, 7.0, 205.0, 0.5384615384615384, 0.8367346938775511, 0.3751962323390895, 0.14893617021276595, 0.9715639810426541, 0.12050015125541999, 0.6712298045747451, 
seismic-bumps-test-1.arff,2019.04.25_09.17.45,0.024467481,18.651991196, 13.362427826999998, 5.279535009, 45.0, 5.2, 304.3333333333333, 0.2326786140979689, 0.7635115030718904, 0.1490680710145068, 0.2040652887064634, 0.22567831189282728, 1.0464912013606582, 0.7555555555555555, 0.7555555555555555, 0.7111111111111111, 0.8301158301158301, 0.16988416988416988, 0.282367758186398, 0.6916239316239317, 11.015444015444016, 250.0, 43.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.28888888888888886, 0.52, 2.992888888888889, 0.13675213675213677, 0.37142857142857144, 32.0, 12.0, 13.0, 202.0, 0.52, 0.8632478632478633, 0.38324786324786325, 0.28888888888888886, 0.9439252336448598, 0.2328141225337487, 0.6699917080747261, 
seismic-bumps-test-2.arff,2019.04.25_09.17.45,0.025485713,24.145716951, 17.925158944999996, 6.209972419, 48.0, 5.4375, 315.7291666666667, 0.25501576382917746, 0.7461466402238625, 0.19015321538381588, 0.1751864837209378, 0.19087141207841227, 0.8388862004768792, 0.7708333333333334, 0.7708333333333334, 0.7083333333333334, 0.7248062015503876, 0.27519379844961245, 0.10232284622169925, 0.6208333333333333, 11.930232558139535, 254.0, 71.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.1267605633802817, 0.5, 1.8169014084507042, 0.25833333333333336, 0.20224719101123595, 62.0, 9.0, 9.0, 178.0, 0.5, 0.7416666666666667, 0.24166666666666667, 0.1267605633802817, 0.9518716577540107, 0.07863222113429238, 0.6089608635481704, 
seismic-bumps-test-3.arff,2019.04.25_09.17.45,0.023766138,16.464741878, 11.658946475999997, 4.794765923000002, 47.0, 5.042553191489362, 267.29787234042556, 0.24785175017158545, 0.74258787505019, 0.18527022883811345, 0.21477857448039517, 0.23913574164684312, 1.1979685991544815, 0.7659574468085106, 0.7446808510638298, 0.6808510638297872, 0.7181467181467182, 0.28185328185328185, 0.12939172077174577, 0.6540570175438596, 11.783783783783784, 258.0, 72.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.14473684210526316, 0.5789473684210527, 1.9729916897506925, 0.2708333333333333, 0.23157894736842105, 65.0, 8.0, 11.0, 175.0, 0.5789473684210527, 0.7291666666666666, 0.3081140350877193, 0.14473684210526316, 0.9562841530054644, 0.10102099511072764, 0.6497300384059657, 
seismic-bumps-test-4.arff,2019.04.25_09.17.45,0.027246341,24.026086131, 17.819219718000003, 6.195131307000002, 53.0, 5.226415094339623, 297.64150943396226, 0.22929476467820678, 0.779398891546764, 0.2764190277577364, 0.14139916846153572, 0.15147925099613985, 0.6210609470545633, 0.8301886792452831, 0.8113207547169812, 0.6792452830188679, 0.8217054263565892, 0.17829457364341084, 0.20753205128205135, 0.7006714876033058, 12.573643410852712, 248.0, 46.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.1875, 0.5625, 3.0234375, 0.16115702479338842, 0.28125, 39.0, 7.0, 9.0, 203.0, 0.5625, 0.8388429752066116, 0.40134297520661155, 0.1875, 0.9666666666666667, 0.15416666666666667, 0.6869127845321552, 
seismic-bumps-test-5.arff,2019.04.25_09.17.45,0.023061801,20.002671948, 14.683043180000002, 5.30897048, 45.0, 5.155555555555556, 312.44444444444446, 0.23743192891946113, 0.7563585958681548, 0.2471074655127309, 0.16539371667201233, 0.17879550685537898, 0.7038515966817533, 0.8222222222222222, 0.8222222222222222, 0.7333333333333333, 0.7441860465116279, 0.2558139534883721, 0.12659006975789902, 0.659349173553719, 10.507751937984496, 247.0, 65.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.1323529411764706, 0.5625, 2.134191176470588, 0.24380165289256198, 0.21428571428571427, 59.0, 7.0, 9.0, 183.0, 0.5625, 0.756198347107438, 0.318698347107438, 0.1323529411764706, 0.9631578947368421, 0.09551083591331269, 0.6521974932855338, 
seismic-bumps-test-6.arff,2019.04.25_09.17.45,0.024443533,17.195816828, 12.878825367999994, 4.307374922999999, 40.0, 5.575, 282.75, 0.24601075268817207, 0.706518046429862, 0.164886310503919, 0.20720385094709792, 0.229169133224979, 0.9676776007952009, 0.75, 0.75, 0.725, 0.7451737451737451, 0.25482625482625487, 0.18475772605875623, 0.8267543859649122, 9.621621621621621, 254.0, 66.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.14473684210526316, 0.9166666666666666, 3.1239035087719293, 0.2631578947368421, 0.25, 65.0, 1.0, 11.0, 182.0, 0.9166666666666666, 0.7368421052631579, 0.6535087719298246, 0.14473684210526316, 0.994535519125683, 0.13927236123094622, 0.8218507142366113, 
seismic-bumps-test-7.arff,2019.04.25_09.17.45,0.0242605,20.208029613, 14.523350677, 5.674314455000002, 46.0, 5.260869565217392, 318.6304347826087, 0.23983139556618935, 0.751302824050358, 0.28710529548492614, 0.11671663874317807, 0.12297622489732908, 0.3816872240796492, 0.8478260869565217, 0.8478260869565217, 0.7608695652173914, 0.7984496124031008, 0.20155038759689925, 0.2378138847858199, 0.7554308030266048, 10.317829457364342, 254.0, 52.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.2033898305084746, 0.7058823529411765, 3.0867397806580263, 0.1950207468879668, 0.3157894736842105, 47.0, 5.0, 12.0, 194.0, 0.7058823529411765, 0.8049792531120332, 0.5108616060532096, 0.2033898305084746, 0.9748743718592965, 0.17826420236777105, 0.7538041186246948, 
seismic-bumps-test-8.arff,2019.04.25_09.17.45,0.024819008,18.868384759, 13.667472497000002, 5.191538631999998, 40.0, 5.6, 324.2, 0.2324731182795699, 0.7140722850931087, 0.18442650883510342, 0.21082148946017995, 0.23410358391056268, 1.0105429990583261, 0.725, 0.725, 0.7, 0.7760617760617761, 0.22393822393822393, 0.17651573292402142, 0.6610644257703082, 9.27027027027027, 256.0, 57.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.1864406779661017, 0.5238095238095238, 2.299435028248588, 0.20168067226890757, 0.275, 48.0, 10.0, 11.0, 190.0, 0.5238095238095238, 0.7983193277310925, 0.32212885154061627, 0.1864406779661017, 0.95, 0.13644067796610168, 0.6466585396534733, 
seismic-bumps-test-9.arff,2019.04.25_09.17.45,0.021967449,16.296763257, 11.897188164999998, 4.390381075, 39.0, 5.384615384615385, 294.43589743589746, 0.23828736468461317, 0.7036460875437747, 0.12853659336448822, 0.25637686437086943, 0.29209969280815284, 1.4154696970903164, 0.717948717948718, 0.717948717948718, 0.6666666666666666, 0.7751937984496124, 0.22480620155038755, 0.1452073574774363, 0.6995290423861853, 8.926356589147288, 254.0, 58.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.13114754098360656, 0.6153846153846154, 2.6027742749054226, 0.2163265306122449, 0.21621621621621623, 53.0, 5.0, 8.0, 192.0, 0.6153846153846154, 0.7836734693877551, 0.3990580847723705, 0.13114754098360656, 0.9746192893401016, 0.10576683032370808, 0.6944498517145142, 
