Parameters: min_rule_covered=8.0; induction_measure=BinaryEntropy; pruning_measure=BinaryEntropy; voting_measure=C2; 
Dataset, time started, elapsed[s], time_total_s,time_growing_s,time_pruning_s,#rules,#conditions_per_rule,#induced_conditions_per_rule,avg_rule_coverage,avg_rule_precision,avg_rule_quality,avg_pvalue,avg_FDR_pvalue,avg_FWER_pvalue,fraction_0.05_significant,fraction_0.05_FDR_significant,fraction_0.05_FWER_significant,accuracy,classification_error,kappa,balanced_accuracy,#rules_per_example,#voting_conflicts,#negative_voting_conflicts,cross-entropy,margin,soft_margin_loss,logistic_loss,precision,sensitivity,specificity,negative_predictive_value,fallout,youden,geometric_mean,psep,lift,f_measure,false_positive,false_negative,true_positive,true_negative,
seismic-bumps-test-0.arff,2020.05.12_14.36.44,0.0187121,0.6552536, 0.5580364, 0.09442420000000001, 10.0, 3.4, 42.7, 0.41650902837489256, 0.5906250673613199, 0.14789764372050748, 0.19999999999982548, 0.21111111111092526, 0.2999999999997236, 0.8, 0.8, 0.8, 0.7984496124031008, 0.20155038759689925, 0.14274760383386606, 0.675353218210361, 4.1937984496124034, 253.0, 50.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.1320754716981132, 0.5384615384615384, 0.8122448979591836, 0.9707317073170731, 0.18775510204081633, 0.35070643642072213, 0.6613339832207606, 0.10280717901518638, 2.621190130624093, 0.21212121212121213, 46.0, 6.0, 7.0, 199.0, 
seismic-bumps-test-1.arff,2020.05.12_14.36.44,0.0187663,0.5696735, 0.48576620000000004, 0.0815004, 8.0, 3.25, 48.125, 0.3968279569892473, 0.471154571142861, 0.10417028555390853, 0.2500000663472438, 0.2678572313201596, 0.3750001990418742, 0.75, 0.75, 0.75, 0.7027027027027027, 0.29729729729729726, 0.17011360326245284, 0.6747008547008547, 3.1776061776061777, 256.0, 77.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.19047619047619047, 0.64, 0.7094017094017094, 0.9485714285714286, 0.2905982905982906, 0.3494017094017094, 0.6738079058731012, 0.13904761904761906, 1.9733333333333332, 0.29357798165137616, 68.0, 9.0, 16.0, 166.0, 
seismic-bumps-test-2.arff,2020.05.12_14.36.44,0.0190223,0.8922216, 0.7589538, 0.1304484, 14.0, 3.357142857142857, 41.785714285714285, 0.4447549441100603, 0.615336069880606, 0.12477403592069017, 0.21428571428561075, 0.23168498168486953, 0.42857142857121877, 0.7857142857142857, 0.7857142857142857, 0.7857142857142857, 0.7364341085271318, 0.26356589147286824, 0.130796670630202, 0.6527777777777778, 6.255813953488372, 254.0, 68.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.14285714285714285, 0.5555555555555556, 0.75, 0.9574468085106383, 0.25, 0.3055555555555556, 0.6454972243679028, 0.10030395136778116, 2.047619047619048, 0.22727272727272727, 60.0, 8.0, 10.0, 180.0, 
seismic-bumps-test-3.arff,2020.05.12_14.36.44,0.0189548,0.8128216, 0.6898421, 0.11990680000000001, 13.0, 3.4615384615384617, 42.53846153846154, 0.42107526881720425, 0.6165851113789189, 0.12251820441019096, 0.23076923076920644, 0.25116550116547026, 0.4615384615383634, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.8223938223938224, 0.17760617760617758, 0.24355555555555564, 0.7103070175438597, 5.405405405405405, 251.0, 45.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.22448979591836735, 0.5789473684210527, 0.8416666666666667, 0.9619047619047619, 0.15833333333333333, 0.4206140350877193, 0.6980549417878122, 0.18639455782312925, 3.0601503759398496, 0.3235294117647059, 38.0, 8.0, 11.0, 202.0, 
seismic-bumps-test-4.arff,2020.05.12_14.36.44,0.0206574,1.3174251, 1.1248093, 0.1889963, 22.0, 4.0, 37.81818181818182, 0.45089111232705387, 0.7203605316343963, 0.2827963557008553, 0.13857300914694537, 0.1456527133779752, 0.2818896512199908, 0.8636363636363636, 0.8636363636363636, 0.8181818181818182, 0.7984496124031008, 0.20155038759689925, 0.20066730219256423, 0.7174586776859504, 10.116279069767442, 255.0, 52.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.17857142857142858, 0.625, 0.8099173553719008, 0.9702970297029703, 0.19008264462809918, 0.43491735537190085, 0.711476174659024, 0.14886845827439887, 2.8794642857142856, 0.2777777777777778, 46.0, 6.0, 10.0, 196.0, 
seismic-bumps-test-5.arff,2020.05.12_14.36.44,0.0209003,1.5275499, 1.3238741, 0.1997755, 21.0, 4.333333333333333, 43.38095238095238, 0.37614134217745576, 0.5837752920916723, 0.21214872703318402, 0.09669336168974148, 0.09922750038275645, 0.14722294823427862, 0.9047619047619048, 0.9047619047619048, 0.8571428571428571, 0.8217054263565892, 0.17829457364341084, 0.2928979980934224, 0.8174070247933884, 7.810077519379845, 258.0, 46.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.23214285714285715, 0.8125, 0.8223140495867769, 0.9851485148514851, 0.17768595041322313, 0.6348140495867769, 0.8173922958342928, 0.21729137199434229, 3.7433035714285716, 0.3611111111111111, 43.0, 3.0, 13.0, 199.0, 
seismic-bumps-test-6.arff,2020.05.12_14.36.44,0.0183805,0.9175985, 0.8006809, 0.11389819999999999, 11.0, 4.545454545454546, 50.0, 0.31116324535679374, 0.475659321074469, 0.1762534265932785, 0.18181818181810472, 0.1909090909090083, 0.27272727272714037, 0.8181818181818182, 0.8181818181818182, 0.8181818181818182, 0.7722007722007722, 0.2277992277992278, 0.1687428602513193, 0.7616396761133604, 3.3783783783783785, 257.0, 59.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.13846153846153847, 0.75, 0.7732793522267206, 0.9845360824742269, 0.22672064777327935, 0.5232793522267206, 0.7615507298729616, 0.12299762093576526, 2.9884615384615385, 0.23376623376623376, 56.0, 3.0, 9.0, 191.0, 
seismic-bumps-test-7.arff,2020.05.12_14.36.44,0.0188317,1.1191725, 0.9632569000000001, 0.1527993, 13.0, 3.769230769230769, 51.53846153846154, 0.34053178120246047, 0.49613984947946665, 0.06849341028043085, 0.23076923076913977, 0.2511655011654004, 0.4615384615382598, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7093023255813954, 0.2906976744186046, 0.1660201706749418, 0.7350500366121553, 4.37984496124031, 248.0, 74.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.15476190476190477, 0.7647058823529411, 0.7053941908713693, 0.9770114942528736, 0.2946058091286307, 0.47010007322431047, 0.7344515553369939, 0.13177339901477833, 2.348739495798319, 0.25742574257425743, 71.0, 4.0, 13.0, 170.0, 
seismic-bumps-test-8.arff,2020.05.12_14.36.44,0.0187145,0.6662442, 0.5664081999999999, 0.09669209999999999, 12.0, 3.0833333333333335, 34.833333333333336, 0.49483870967741933, 0.630597936603291, 0.2198558628420246, 0.16666666666663724, 0.17424242424239308, 0.24999999999995146, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7876447876447876, 0.21235521235521237, 0.20970873786407762, 0.6890756302521008, 5.934362934362935, 254.0, 55.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.20689655172413793, 0.5714285714285714, 0.8067226890756303, 0.9552238805970149, 0.19327731092436976, 0.37815126050420167, 0.6789583151840053, 0.16212043232115286, 2.5517241379310343, 0.3037974683544304, 46.0, 9.0, 12.0, 192.0, 
seismic-bumps-test-9.arff,2020.05.12_14.36.44,0.0196348,1.4042632, 1.2127875, 0.18815739999999997, 18.0, 3.888888888888889, 46.22222222222222, 0.4029330276105857, 0.579038798004386, 0.24465827511174995, 0.11381281618042066, 0.11741850317029996, 0.17477178187469658, 0.8888888888888888, 0.8333333333333334, 0.8333333333333334, 0.7868217054263565, 0.21317829457364346, 0.15585960737656152, 0.7056514913657771, 7.22093023255814, 249.0, 53.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.13793103448275862, 0.6153846153846154, 0.7959183673469388, 0.975, 0.20408163265306123, 0.41130298273155413, 0.6998542122237652, 0.11293103448275862, 2.7374005305039786, 0.22535211267605634, 50.0, 5.0, 8.0, 195.0, 
